Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
CLEOPATRA PREMIUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Wdrożenie w działalności Wnioskodawcy nowej, nieistniejącej wcześniej w ofercie Wnioskodawcy, usługi w postaci dzierżawy i wypożyczania łodzi żaglowej bez załogi, powodującej wprowadzenie nowego zakresu działalności i zwiększenia odporności przedsiębiorstwa Cleopatra Premium Sp. z o.o. na sytuacje kryzysowe- Region 3 Województwo łódzkie",Łódzkie,Lublin,Trześniowska,63,20-227,469807.87
OZDOBA I SYN S.C.,Wzmocnienie odporności firmy OZDOBA I SYN S.C. poprzez inwestycje w nowe usługi oraz zieloną i cyfrową transformację,ŁÓDZKIE,Łódź,,8,94-302,292095
Restauracja Pod Czaplą Dobrowolscy spółka cywilna,Wzmocnienie odporności Restauracji Pod Czaplą działającej w regionie 4 poprzezwdrożenie nowych usług do oferty.,ŚLĄSKIE,Bytom,Stanisława Moniuszki,8,41-902,305690.6
WIOLETTA I MICHAŁ LISZOWSCY SPÓŁKA CYWILNA,"Inwestycja spółki WIOLETTA I MICHAŁ LISZOWSCY SPÓŁKA CYWILNA w zakup wyposażenia/sprzętów kuchennych, wyposażenia ogródków letnich i wprowadzenia zielonej i cyfrowej transformacji w 2 placówkach gastronomicznych w województwie śląskim, w celu umocnienia pozycji rynkowej przedsiębiorstwa na wypadek sytuacji kryzysowych.",ŚLĄSKIE,Żory,Józefa Mikołajca,17,44-240,113032.23
"PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE ""IWO"" IWONA GARCZAREK-CIEKOT",Projekt ZIELONA OLIWKA: Rewolucja w gastronomii Gliwic poprzez remont i stworzenie nowego miejsca spotkań – Restauracji-Pizzerii z bogatą ofertą pizzy na drewno.,ŚLĄSKIE,Zabrze,Jagiellońska,38,41-800,416997.9
Słodki Przystanek Monika Krzyszczuk,Rozszerzenie oferty produktowej przedsiębiorstwa „SŁODKI PRZYSTANEK MONIKA KRZYSZCZUK” wraz z wejściem na rynek cateringowy w celu zwiększenia odporności firmy na potencjalne przyszłe kryzysy – region 4: woj. OPOLSKIE,OPOLSKIE,Brzeg,Księdza Makarskiego,37,49-300,214023.48
KINGA S.C. JAROSŁAW I JOANNA WITAS,Projekt zrównoważonego rozwoju hotelu Kinga,ŚLĄSKIE,Żarki-Letnisko,Nadrzeczna,35,42-311,462702.6
BODEKO HOTELE SPÓŁKA ZOGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Eko-Innowacje w HoReCa: Rozwój Zrównoważonej Infrastruktury Turystycznej i Gastronomicznej w Osadzie Zborów,ŚLĄSKIE,Wisła,Jawornik,52A,43-460,352445.94
"Przedsiębiorstwo Hotelarsko-Turystyczne ""ODYS"" Spółka z ograniczoną odpowiedzialnością",Wprowadzenie nowych usług do oferty Ośrodka na terenie województwa śląskiego,ŚLĄSKIE,Tresna,Nad Jeziorem,99,34-311,479320.85
NEW YORK HOT DOG KRZYSZTOF KUDANOWSKI SPÓŁKA JAWNA,Zwiększenie odporności firmy New York Hot Dogs na sytuacje kryzysowe poprzez rozszerzenie prowadzonej działalności w zakresie asortymentów produktów i sposobu dostarczania produktów,ŁÓDZKIE,Łódź,Kaczeńcowa,10,91-214,402430.08
